Name;RAJ2000;DEJ2000
SDSS J154409.61+024040.0;15 44 09.60;+02 40 39.8				
SDSS J155449.11+084204.8;15 54 49.10;+08 42 05.4				
SDSS J155647.78+181531.5;15 56 47.80;+18 15 32.1				
SDSS J160730.33+144904.3;16 07 30.30;+14 49 04.2				
SDSS J161013.67+311756.4;16 10 13.70;+31 17 56.6				
SDSS J161854.64+230859.1;16 18 54.60;+23 08 59.3				
163107.34+560905.3      ;16 31 07.40;+56 09 05.1				
HS 1630+2355            ;16 33 02.70;+23 49 28.8				
SDSS J164452.71+430752.2;16 44 52.70;+43 07 52.9				
SDSS J165136.76+434741.3;16 51 36.80;+43 47 41.9				
MCG 5-40-026            ;17 01 07.80;+29 24 24.6				
SDSS J170616.24+370927.0;17 06 16.20;+37 09 27.0				
HS 1715+2131            ;17 17 20.10;+21 28 15.0				
FBQS J17239+3748        ;17 23 54.30;+37 48 41.7				
SDSS J172656.96+600348.5;17 26 56.90;+60 03 49.1				
4C 50.43                ;17 31 03.70;+50 07 35.7				
BZQJ2156-2012           ;21 56 33.70;-20 12 30.2				
SDSS J221016.97+122213.9;22 10 17.00;+12 22 14.0				
6QZ J221925.1-305408    ;22 19 25.20;-30 54 08.1				
HS 2219+1944            ;22 22 21.10;+19 59 48.1				
SDSS J224829.47+144418.0;22 48 29.40;+14 44 18.4				
